question,predicted_answer,ground_truth,latency_ms,precision,recall,f1_score,success,error,timestamp,model_name,question_id,category,difficulty,source_file
How does a king move in chess?,"According to the context, a king moves to any adjoining square that is not attacked by one or more of the opponent's pieces. This is stated in section 8A1 of the rules, which reads:

""8A. The king.

8A1. The king’s move.
Except when castling, the king moves to any adjoining square that is not attacked by one or more of the opponent’s pieces.""","A king moves one square in any direction: horizontally, vertically, or diagonally.",62667.972564697266,0.12698412698412698,0.6666666666666666,0.21333333333333335,True,,2025-05-23T00:24:51.686679,llama3.2,0,piece_movement,basic,chess_questions.json
What is castling in chess?,"Castling is a move in chess where the king moves two squares towards a rook, and then the rook moves to the square adjacent to the king. This is considered a single move.","Castling is a special move involving the king and either rook. The king moves two squares toward the rook, and the rook moves to the square the king crossed over. This can only be done if neither piece has moved, there are no pieces between them, the king is not in check, and the king doesn't pass through or end up in check.",53614.73107337952,0.6666666666666666,0.3492063492063492,0.4583333333333333,True,,2025-05-23T00:25:45.301955,llama3.2,1,special_moves,intermediate,chess_questions.json
How does a pawn capture pieces?,"According to the context, a pawn captures pieces in the following ways:

- By capturing an opponent's piece that is diagonally in front of it on the same file.
- By capturing an opponent's pawn if a pawn reaches its furthest position and must be exchanged for a queen. 
  However, there seems to be some confusion here since this option doesn't mention capture.

It appears that according to the context only option (c) is about capturing pieces - specifically diagonally in front of it on the same file","A pawn captures diagonally one square forward to the left or right, unlike its normal forward movement.",38987.69688606262,0.08235294117647059,0.4117647058823529,0.13725490196078433,True,,2025-05-23T00:26:24.289652,llama3.2,2,piece_movement,basic,chess_questions.json
What is en passant?,"En passant is a special capture in chess that allows a pawn to capture an opponent's pawn as though it had only moved one square, when the opponent's pawn has advanced two squares in one move. This capture can only be made immediately after the opponent's pawn makes its advance, and it is indicated by 'e.p.' in the notation.","En passant is a special pawn capture that occurs when an opponent's pawn moves two squares forward from its starting position and lands beside your pawn. You can capture it as if it had only moved one square forward, removing the opponent's pawn and moving your pawn diagonally to the square the opponent's pawn passed over.",62927.159786224365,0.576271186440678,0.6071428571428571,0.591304347826087,True,,2025-05-23T00:27:27.217814,llama3.2,3,special_moves,advanced,chess_questions.json
When is a game considered a draw?,"According to Article 9.2 and 9.3, a game can be drawn in the following situations:

* A position appears or has appeared three times (Article 9.4).
* The last 50 consecutive moves have been made by each player without moving any pawn or capturing any piece (Article 9.5).
* A correct claim is made and accepted by both players during the game (Article 9.1).

Additionally, a draw can also be claimed when:

* A player has the move and the position is the same as in Article 9.2 condition ""a"" or ""b"", with insufficient material to continue, insufficient material to win on time, the 50-move rule, both flags down in sudden death, or insufficient losing chances (Article 9.3).
* The opponent accepts an implied draw offer made by the player making a correct claim (Article 9.3).","A chess game is drawn when there is stalemate, insufficient material to checkmate, threefold repetition of position, fifty-move rule (fifty moves without a pawn move or capture), or by mutual agreement between players.",74067.58403778076,0.15267175572519084,0.6060606060606061,0.24390243902439024,True,,2025-05-23T00:28:41.287562,llama3.2,4,game_rules,intermediate,chess_questions.json
What is the objective of Monopoly?,"The object of the game is to become the wealthiest player through buying, renting, and selling property.","The objective is to become the wealthiest player through buying, renting, and selling property.",50880.4247379303,0.7647058823529411,0.9285714285714286,0.8387096774193549,True,,2025-05-23T00:29:32.167986,llama3.2,5,game_objective,basic,monopoly_questions.json
How does a player go to Jail in Monopoly?,"A player can land in Jail when their token lands on the space marked ""Go to Jail"", or when they draw a card marked ""Go to Jail"". They cannot also be sent to Jail by landing on that space if it is part of the ordinary course of play, but rather it must be ""sent"" to them.","A player goes to Jail by landing on 'Go to Jail', drawing a 'Go to Jail' card, or rolling doubles three times in a row.",69798.42042922974,0.2982456140350877,0.68,0.41463414634146345,True,,2025-05-23T00:30:41.967590,llama3.2,6,penalties,intermediate,monopoly_questions.json
What happens when you pass 'GO'?,"When passing GO, a player receives a $200 salary from the Banker. However, if they land exactly two spaces beyond GO on Community Chest or seven spaces beyond GO on Chance and draw the ""Advance to GO"" card, they collect an additional $200 for reaching GO for the second time.","Each time a player's token lands on or passes over GO, the Banker pays them a $200 salary.",66971.43816947937,0.2,0.5555555555555556,0.29411764705882354,True,,2025-05-23T00:31:48.940049,llama3.2,7,board_mechanics,basic,monopoly_questions.json
How can a player get out of Jail?,"According to the text, a player can get out of Jail by throwing doubles on any of their next three turns, and then immediately move forward the number of spaces shown by their doubles throw.","By rolling doubles within 3 turns, using or buying a 'Get Out of Jail Free' card, or paying a $50 fine.",46740.24271965027,0.22857142857142856,0.38095238095238093,0.2857142857142857,True,,2025-05-23T00:32:35.680764,llama3.2,8,penalties,intermediate,monopoly_questions.json
What is the Speed Die used for in Monopoly?,"The Speed Die is a new way to play the classic Monopoly game. It's used to get into the action faster and makes the game move quicker. When using the Speed Die, you roll it along with the two white dice on your turn. The results of the Speed Die are added to the roll of the two white dice:

- If 1, 2, or 3 is rolled, add that number to the roll of the two white dice.
- If a three-of-a-kind (all of the dice show the same number) is rolled, you can move anywhere you want on the board!
- To pay utilities, use the sum of all three dice.

Additionally, the Speed Die has a feature called ""Bus"" and ""Mr. Monopoly"". The Bus lets you get off the bus early by moving the value of one die, the other die, or the sum of both dice. Mr. Monopoly gives you control over buying properties if there is property in the bank after resolving the space you land on.","The Speed Die is used to make the game move faster, starting after a player passes GO for the first time.",86452.66127586365,0.07692307692307693,0.6190476190476191,0.1368421052631579,True,,2025-05-23T00:34:02.133425,llama3.2,9,game_variants,intermediate,monopoly_questions.json
When can houses be built on properties?,"According to the context, houses can be built on properties when the following conditions are met:

1. The player must have at least one house already on a property.
2. The player must have built evenly, i.e., they cannot build more than one house on any one property of any color-group until they have built one house on another property of that group.

In other words, houses can be built on properties after the player has erected their first house on that property, and then they must wait to erect subsequent houses on a new property in the same color group.",Houses can be built when a player owns all properties in a color-group and must be built evenly.,68954.35905456543,0.15841584158415842,0.8888888888888888,0.26890756302521013,True,,2025-05-23T00:35:11.088786,llama3.2,10,property_development,intermediate,monopoly_questions.json
What happens when the Bank runs out of money?,"When the Bank runs out of money, the game continues with the player who is sent to jail advancing directly to the NOCT property, which they must pay another player a specified amount of money.",The Banker may issue more money by writing it on ordinary paper; the Bank never 'goes broke'.,67873.41022491455,0.11428571428571428,0.23529411764705882,0.15384615384615385,True,,2025-05-23T00:36:18.963276,llama3.2,11,bank_rules,advanced,monopoly_questions.json
How many cards does each player start with in UNO?,"The text doesn't specify how many cards each player starts with. However, it does state that ""Each player is dealt seven cards"" during the setup phase of the game.",Each player is dealt seven cards at the start of the game.,71902.24504470825,0.3448275862068966,0.8333333333333334,0.4878048780487806,True,,2025-05-23T00:37:30.866519,llama3.2,12,setup,basic,uno_questions.json
What is the objective of UNO?,"According to the provided context, the first player with no cards left wins the round, and the first to 500 points wins the game.",The objective is to be the first to get rid of all your cards and reach 500 points over multiple rounds.,53419.60310935974,0.375,0.42857142857142855,0.39999999999999997,True,,2025-05-23T00:38:24.287127,llama3.2,13,game_objective,basic,uno_questions.json
What happens if you forget to say 'UNO'?,"According to the context, if you forget to say ""UNO"" before playing your next-to-last card and another player catches you with just one card before the next player begins their turn, you must pick FOUR more cards from the DRAW pile.","If caught before the next player plays, you must draw 4 cards from the draw pile.",51421.295166015625,0.2926829268292683,0.75,0.4210526315789473,True,,2025-05-23T00:39:15.709423,llama3.2,14,special_rules,intermediate,uno_questions.json
Can you play a Wild card even if you have a playable card?,"No, that's incorrect. According to the text, if you don't have another playable card in your hand, but you do have a playable card, you must draw a card from the DRAW pile and skip playing it, then continue to play according to the regular rules. You can only play a Wild card when you don't have any other playable cards in your hand.","Yes, Wild cards can be played at any time, even if you have a matching card.",70740.87357521057,0.140625,0.5625,0.225,True,,2025-05-23T00:40:26.450296,llama3.2,15,special_cards,intermediate,uno_questions.json
What does a 'Draw Two' card do?,"A ""Draw Two"" card forces the next player to draw 2 cards and forfeit their turn. It can be played on a matching color or another ""Draw Two"" card, but it cannot be played on a colored card of a different suit (i.e., on a wild card). If a ""Draw Two"" card is played at the beginning of play, the first player must draw 2 cards instead of going first.",The next player must draw two cards and forfeit their turn.,67910.39371490479,0.15714285714285714,1.0,0.271604938271605,True,,2025-05-23T00:41:34.361606,llama3.2,16,special_cards,basic,uno_questions.json
How do you challenge a Wild Draw Four card?,"According to the rules, if you suspect that a player has played a Wild Draw 4 card illegally, you may challenge them. The challenged player must show their hand to the player who challenged. If the challenged player is guilty, they must draw 4 cards.","If challenged, the player must show their hand. If they had a matching color, they draw 4; if not, the challenger draws 6.",66793.90692710876,0.3111111111111111,0.6086956521739131,0.411764705882353,True,,2025-05-23T00:42:41.156497,llama3.2,17,special_rules,advanced,uno_questions.json
What cards are worth the most points in UNO scoring?,"The cards that are worth the most points in UNO scoring are:

* Numbered card ""20"" (20 points)
* Numbered card ""50"" (50 points)

These cards have the highest face value in the game and score the most points.",Wild and Wild Draw Four cards are worth 50 points each.,75036.38005256653,0.16216216216216217,0.5454545454545454,0.25,True,,2025-05-23T00:43:56.193424,llama3.2,18,scoring,basic,uno_questions.json
What is the goal of Ticket to Ride?,"According to the context, the object of the game ""Ticket to Ride"" is to score the highest number of total points. Points can be scored by claiming routes between two adjacent cities, completing Continuous Paths of routes, or achieving the Longest Continuous Path of routes.",The goal is to score the most points by claiming routes and completing Destination Tickets.,52380.70869445801,0.2222222222222222,0.6666666666666666,0.3333333333333333,True,,2025-05-23T00:44:48.575132,llama3.2,19,game_objective,basic,ticket_to_ride_questions.json
What actions can a player take on their turn in Ticket to Ride?,"According to the text, there are actually no actions listed as ""∂"", ""∫"", or any other symbols. The three actions that players must perform on their turn are:

1. Buy real estate or other properties
2. Pay rent, pay taxes, draw a Chance or Community Chest card, or move to Jail
3. Move their token according to the roll of the dice","On their turn, a player may either draw Train Car cards, claim a route, or draw Destination Tickets.",69808.90130996704,0.0967741935483871,0.3333333333333333,0.15000000000000002,True,,2025-05-23T00:45:58.384640,llama3.2,20,gameplay,basic,ticket_to_ride_questions.json
How do you claim a route?,"To claim a route, a player must play a set of cards equal to the number of spaces in the route. A set of cards must be of the same type. Most routes require a specific type of set.","To claim a route, play a set of Train Car cards matching the route's color and length, then place trains on the spaces.",52366.291761398315,0.3333333333333333,0.5652173913043478,0.4193548387096774,True,,2025-05-23T00:46:50.750932,llama3.2,21,route_mechanics,intermediate,ticket_to_ride_questions.json
What is the role of Locomotive cards?,"According to the context, Locomotive cards act as a wild card that can be part of any set of cards when claiming a route. They are multi-colored and do not match specific routes, allowing them to be used in place of any other colored Train Car card.","Locomotive cards are wild and can be used as any color when claiming routes, but drawing one face-up counts as both draws.",48549.30877685547,0.2765957446808511,0.5909090909090909,0.37681159420289856,True,,2025-05-23T00:47:39.301486,llama3.2,22,special_cards,intermediate,ticket_to_ride_questions.json
When does the game end in Ticket to Ride?,"The game ends when one player's stock of colored plastic trains gets down to only 0,1 or 2 trains left at the end of their turn.","The game ends when a player has only 0, 1, or 2 trains left. Every player then takes one final turn.",69239.44449424744,0.4230769230769231,0.5238095238095238,0.4680851063829788,True,,2025-05-23T00:48:48.541925,llama3.2,23,endgame,basic,ticket_to_ride_questions.json
What happens if three face-up cards are Locomotives?,"If at any time, three of the five face-up cards are Locomotives, all five cards are immediately discarded and five new ones are turned face-up to replace them.",All five face-up cards are discarded and replaced with five new ones.,62510.04910469055,0.35714285714285715,0.8333333333333334,0.5,True,,2025-05-23T00:49:51.052978,llama3.2,24,special_rules,advanced,ticket_to_ride_questions.json
What is the Longest Continuous Path bonus?,"The Longest Continuous Path bonus consists of adding 10 points to your score. If there's a tie for the longest path, all tied players receive this bonus.",It is a 10-point bonus awarded to the player with the longest continuous path of trains.,59360.56303977966,0.3333333333333333,0.5625,0.4186046511627907,True,,2025-05-23T00:50:50.414545,llama3.2,25,scoring,intermediate,ticket_to_ride_questions.json
