question,predicted_answer,ground_truth,context,latency_ms,success,error,precision,recall,f1,exact_match,rouge_l_precision,rouge_l_recall,rouge_l_f1,bleu_1,bleu_2,bleu_3,bleu_4,bleu,brevity_penalty,faithfulness,timestamp,model_name,question_id,category,difficulty,source_file
How does a king move in chess?,"According to the provided context (8A), a king moves to any adjoining square that is not attacked by one or more of the opponent's pieces.","A king moves one square in any direction: horizontally, vertically, or diagonally.","rook on its original square, then that rook is transferred to the square the king has 
just crossed. 
 
 
 
Before white kingside castling 
After white kingside castling 
Before black queenside castli...",82776.9615650177,True,,0.28,0.5833333333333334,0.3783783783783784,0.0,0.2,0.4166666666666667,0.2702702702702703,0.30434782608695654,0.08333333333333333,0.043478260869565216,0.0,0.0,1.0,0.92,2025-05-23T01:58:25.278634,llama3.2,0,piece_movement,basic,chess_questions.json
What is castling in chess?,"Castling in chess refers to a special move where the king moves two squares towards a rook, and then the rook moves to the square adjacent to the king. This counts as one move, executed simultaneously with the king and rook.","Castling is a special move involving the king and either rook. The king moves two squares toward the rook, and the rook moves to the square the king crossed over. This can only be done if neither piece has moved, there are no pieces between them, the king is not in check, and the king doesn't pass through or end up in check.","rook at the same time, but castling on that side is illegal, the player
must choose either to castle on the other side, provided that castling

---

making the capture removes the captured piece immed...",56451.91931724548,True,,0.6097560975609756,0.3968253968253968,0.4807692307692307,0.0,0.5609756097560976,0.36507936507936506,0.4423076923076923,0.9259259259259259,0.40540540540540543,0.23076923076923078,0.13157894736842105,0.1910607415235743,0.5847415256680417,0.8536585365853658,2025-05-23T01:59:21.733872,llama3.2,1,special_moves,intermediate,chess_questions.json
How does a pawn capture pieces?,"According to option (c), a pawn can capture an opponent's piece which is diagonally in front of it on an adjacent file.","A pawn captures diagonally one square forward to the left or right, unlike its normal forward movement.","ately in front of it on the same file
(b) On its first move each pawn may advance two squares along
the same file provided both squares are unoccupied
(c) The pawn moves to a square occupied by an opp...",28396.71802520752,True,,0.18181818181818182,0.23529411764705882,0.20512820512820512,0.0,0.13636363636363635,0.17647058823529413,0.15384615384615383,0.19047619047619047,0.047619047619047616,0.0,0.0,0.0,1.0,0.8636363636363636,2025-05-23T01:59:50.132339,llama3.2,2,piece_movement,basic,chess_questions.json
What is en passant?,"En passant is a type of capture in chess where a pawn captures an opponent's pawn as though the latter had been moved only one square, but this capture can be made only on the move following the opponent's pawn advance.","En passant is a special pawn capture that occurs when an opponent's pawn moves two squares forward from its starting position and lands beside your pawn. You can capture it as if it had only moved one square forward, removing the opponent's pawn and moving your pawn diagonally to the square the opponent's pawn passed over.","A pawn attacking a square crossed by an opponent’s pawn which has advanced two 
squares in one move from its original square may capture this opponent’s pawn as 
though the latter had been moved only ...",60903.43737602234,True,,0.5365853658536586,0.39285714285714285,0.45360824742268047,0.0,0.4146341463414634,0.30357142857142855,0.35051546391752575,0.6666666666666666,0.20512820512820512,0.10256410256410256,0.02631578947368421,0.09613870150887677,0.6936042968508961,0.8536585365853658,2025-05-23T02:00:51.037773,llama3.2,3,special_moves,advanced,chess_questions.json
When is a game considered a draw?,"According to the provided context, a game is considered a draw in the following situations:

1. The opponent accepts an implied offer of a draw.
2. The director upholds the player's claim for a draw (Article 9.1).
3. An agreement between the two players during the game (Article 5.3).
4. A position is repeated three times (Article 9.2 and 5.4).
5. The last 50 consecutive moves are made without pawn movement or piece capture (Article 9.3 and 5.5).
6. A position is reached where checkmate cannot occur by any possible series of legal moves (Article 9.6).

Note that a game can also be considered a draw if the director rules against a claim for a draw, in which case the implied offer remains in effect.","A chess game is drawn when there is stalemate, insufficient material to checkmate, threefold repetition of position, fifty-move rule (fifty moves without a pawn move or capture), or by mutual agreement between players.","To see that the team arrives on time for each match.  
31G3. Lineup. 
To see that the team plays the correct opponent, in the correct board order, with the correct colors.  
31G4. Draw consequences. 
...",70823.44365119934,True,,0.144,0.5454545454545454,0.22784810126582275,0.0,0.088,0.3333333333333333,0.13924050632911392,0.2222222222222222,0.018018018018018018,0.0,0.0,0.0,1.0,0.88,2025-05-23T02:02:01.865246,llama3.2,4,game_rules,intermediate,chess_questions.json
What is the objective of Monopoly?,"The object of the game is to become the wealthiest player through buying, renting, and selling properties.","The objective is to become the wealthiest player through buying, renting, and selling property.","Bus: This lets you ""get off the bus early."" Look at the two white 
dice. You can move the value of one die, the other die, or the 
sum of both dice. So if you rolled a 1 and a 5, you can move 
1 space...",50193.39299201965,True,,0.7058823529411765,0.8571428571428571,0.7741935483870968,0.0,0.7058823529411765,0.8571428571428571,0.7741935483870968,0.8,0.625,0.6,0.5714285714285714,0.6434588841607617,1.0,1.0,2025-05-23T02:02:52.060263,llama3.2,5,game_objective,basic,monopoly_questions.json
How does a player go to Jail in Monopoly?,"A player can go to Jail in Monopoly in three ways:

1. When their token lands on the space marked ""Go to Jail"".
2. When they draw a card marked ""Go to Jail"".
3. When they throw doubles three times in succession.","A player goes to Jail by landing on 'Go to Jail', drawing a 'Go to Jail' card, or rolling doubles three times in a row.","the number of spaces shown by your doubles throw; even though you 
had thrown doubles, you do not take another turn; (2) using the ""Get 
Out of Jail Free"" card if you have it; (3) purchasing the ""Get ...",66506.76608085632,True,,0.40476190476190477,0.68,0.5074626865671642,0.0,0.38095238095238093,0.64,0.4776119402985074,0.6071428571428571,0.2571428571428571,0.10810810810810811,0.02631578947368421,0.14517271748125699,1.0,0.8809523809523809,2025-05-23T02:03:58.568780,llama3.2,6,penalties,intermediate,monopoly_questions.json
What happens when you pass 'GO'?,"According to the context, when you pass 'GO', the Banker pays you a $200 salary. However, if certain specific conditions are met (such as passing GO and drawing an ""Advance to GO"" card), you receive an additional $200 payment for passing GO for the first time or reaching it for the second time.","Each time a player's token lands on or passes over GO, the Banker pays them a $200 salary.","your play, the turn passes to the left. The tokens remain 
on the spaces qccupied and proceed from that point on 
the player's next turn. Two or more tokens may rest on the 
same space at the same tim...",70003.15165519714,True,,0.16981132075471697,0.5,0.2535211267605634,0.0,0.1320754716981132,0.3888888888888889,0.19718309859154928,0.23684210526315788,0.1,0.058823529411764705,0.02,0.07265407815865123,1.0,0.8301886792452831,2025-05-23T02:05:08.574402,llama3.2,7,board_mechanics,basic,monopoly_questions.json
How can a player get out of Jail?,"According to the text, a player can get out of Jail by throwing doubles on any of their next three turns, immediately moving forward the number of spaces shown by their throw.","By rolling doubles within 3 turns, using or buying a 'Get Out of Jail Free' card, or paying a $50 fine.","the number of spaces shown by your doubles throw; even though you 
had thrown doubles, you do not take another turn; (2) using the ""Get 
Out of Jail Free"" card if you have it; (3) purchasing the ""Get ...",46493.44754219055,True,,0.25,0.38095238095238093,0.3018867924528302,0.0,0.15625,0.23809523809523808,0.18867924528301888,0.2962962962962963,0.0967741935483871,0.06666666666666667,0.034482758620689655,0.09010504993659671,1.0,0.8125,2025-05-23T02:05:55.068845,llama3.2,8,penalties,intermediate,monopoly_questions.json
What is the Speed Die used for in Monopoly?,"The Speed Die is a new way to play Monopoly that allows players to move faster through the game. When starting the game, an extra $1,000 is given to each player. After collecting the first $200 salary, players use the Speed Die on their turn.

To roll the Speed Die, you roll it along with two white dice on your turn. Depending on the numbers rolled, you will move a certain number of spaces on the board:

- If 1, 2, or 3 is rolled and then added to the roll of the two white dice, you'll zoom around the board.
- A three-of-a-kind (all dice show the same number) allows you to move anywhere on the board.
- The sum of all three dice is used when determining how much to pay on utilities.

The Speed Die is not used for buying properties or paying rent but rather as a way to accelerate gameplay.","The Speed Die is used to make the game move faster, starting after a player passes GO for the first time.","MONOPOLY 
Property Trading Game from Parker Brothers"" 
AGES 8+ 
2 to 8 Players 
Contents: Gameboard, 3 dice, tokens, 32 houses, I2 hotels, Chance 
and Community Chest cards, Title Deed cards, play mon...",83540.48991203308,True,,0.1118421052631579,0.8095238095238095,0.19653179190751446,0.0,0.07236842105263158,0.5238095238095238,0.1271676300578035,0.19540229885057472,0.05185185185185185,0.013888888888888888,0.006756756756756757,0.031226616678133468,1.0,0.8947368421052632,2025-05-23T02:07:18.613315,llama3.2,9,game_variants,intermediate,monopoly_questions.json
